"","date","COLOMA","FREDERICKTOWN","LOCKWOOD","MARSHFIELD","COLUMBIA RGNL AP","JOPLIN REGIONAL  AIRPORT","ST LOUIS LAMBERT INTL AP","SPRINGFIELD"
"1970","1970",5,6,3,5,7,4,5,5
"1971","1971",4,7,4,8,5,4,6,5
"1972","1972",6,7,4,4,6,3,6,3
"1973","1973",10,8,5,7,7,6,6,5
"1974","1974",4,4,4,5,4,5,5,6
"1975","1975",6,5,5,7,5,9,5,9
"1976","1976",5,4,5,5,6,5,5,5
"1977","1977",5,7,10,8,5,9,8,10
"1978","1978",6,4,5,4,6,6,6,6
"1979","1979",4,5,5,6,7,5,9,8
"1980","1980",4,3,3,4,3,4,5,4
"1981","1981",5,6,7,6,6,6,6,6
"1982","1982",4,5,NA,5,6,4,6,5
"1983","1983",8,6,6,5,6,5,6,4
"1984","1984",NA,7,7,6,7,7,7,7
"1985","1985",7,5,5,6,7,6,6,6
"1986","1986",7,5,7,4,6,6,6,11
"1987","1987",4,5,7,4,6,5,6,5
"1988","1988",4,5,5,6,4,6,4,5
"1989","1989",4,6,4,8,12,4,8,5
"1990","1990",5,5,5,5,5,6,6,6
"1991","1991",5,8,9,9,6,6,5,7
"1992","1992",6,4,7,8,7,7,6,5
"1993","1993",6,6,5,6,7,8,5,7
"1994","1994",4,5,5,5,6,5,5,5
"1995","1995",5,6,8,6,5,9,5,9
"1996","1996",5,4,4,5,5,5,7,5
"1997","1997",5,3,5,6,7,6,5,4
"1998","1998",6,7,14,12,6,NA,6,6
"1999","1999",4,5,6,6,5,8,5,7
"2000","2000",4,5,5,5,5,5,4,6
"2001","2001",4,5,8,7,7,7,6,7
"2002","2002",5,5,7,4,7,5,4,5
"2003","2003",3,4,6,7,4,6,6,4
"2004","2004",4,6,10,5,7,5,5,9
"2005","2005",5,5,6,5,5,5,6,7
"2006","2006",5,5,8,5,6,4,4,4
"2007","2007",3,7,7,7,5,6,4,7
"2008","2008",4,5,7,6,6,5,6,4
"2009","2009",4,7,9,7,5,5,6,7
"2010","2010",5,6,8,4,5,5,8,5
"2011","2011",5,7,6,7,6,6,8,10
"2012","2012",5,4,5,5,4,5,4,5
"2013","2013",6,5,8,8,6,8,5,7
"2014","2014",5,7,9,7,NA,5,6,9
"2015","2015",7,5,9,8,7,7,8,6
"2016","2016",4,5,7,6,4,5,5,6
"2017","2017",7,5,7,10,5,9,6,5
"2018","2018",7,12,10,6,4,6,6,7
"2019","2019",6,8,9,7,6,9,6,6
"2020","2020",NA,NA,NA,NA,NA,NA,NA,NA
